id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,alpha
87,Servo,167,4,0,0,1,RF,0.8695316216239242,0.0530800819396972,0.0022563934326171,,,,,,,,
87,Servo,167,4,0,0,1,XGB,0.7985439880551073,0.1091513633728027,0.0020444393157958,,,,,,,,
87,Servo,167,4,0,0,1,CPF 0,0.6934722991380556,0.0049812793731689,0.0001559257507324,1.0,2.0,2.0,10.0,100.0,1,1.0,0.0
87,Servo,167,4,0,0,1,CPF 1,0.7900998612413462,0.0044820308685302,0.0002017021179199,1.0,2.0,2.0,10.0,100.0,1,1.0,0.001
87,Servo,167,4,0,0,1,CPF 2,0.5941267972039658,0.0041966438293457,0.0001614093780517,1.0,2.0,2.0,10.0,100.0,1,1.0,0.01
87,Servo,167,4,0,0,1,CPF 3,0.7997892488263864,0.0038750171661376,0.0001461505889892,1.0,2.0,2.0,10.0,100.0,1,1.0,0.1
87,Servo,167,4,0,0,1,CPF 4,0.7500835694036623,0.0022039413452148,0.0001149177551269,1.0,2.0,2.0,10.0,100.0,1,1.0,1.0
87,Servo,167,4,0,0,1,CPF 5,0.8407933972931952,0.0027177333831787,0.0001492500305175,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.0
87,Servo,167,4,0,0,1,CPF 6,0.6768381120334375,0.0024631023406982,0.0001313686370849,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.001
87,Servo,167,4,0,0,1,CPF 7,0.7820061050217991,0.0024852752685546,0.0001630783081054,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.01
87,Servo,167,4,0,0,1,CPF 8,0.7190925452776342,0.0020544528961181,0.0001277923583984,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.1
87,Servo,167,4,0,0,1,CPF 9,0.6833794952703629,0.0011200904846191,7.343292236328125e-05,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,1.0
87,Servo,167,4,0,0,1,CPF 10,0.8071535433984813,0.0025830268859863,0.0001313686370849,1.0,2.0,2.0,10.0,100.0,0.7,1.0,0.0
87,Servo,167,4,0,0,1,CPF 11,0.6800313623064911,0.003382921218872,0.0002844333648681,1.0,2.0,2.0,10.0,100.0,0.7,1.0,0.001
