id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,alpha
10,Automobile,159,25,46,0,1,RF,0.7686035928143713,0.08146548271179199,0.004202365875244141,,,,,,,,
10,Automobile,159,25,46,0,1,XGB,0.7809989794407617,0.09099102020263672,0.0023217201232910156,,,,,,,,
10,Automobile,159,25,46,0,1,CPF 0,0.816683739455654,0.032616376876831055,0.0001914501190185547,1.0,2.0,2.0,10.0,100.0,1,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 1,0.7498789122022225,0.02930736541748047,0.00019025802612304688,1.0,2.0,2.0,10.0,100.0,1,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 2,0.7556251998921435,0.026200532913208008,0.00018906593322753906,1.0,2.0,2.0,10.0,100.0,1,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 3,0.7372173225969341,0.03009653091430664,0.0001995563507080078,1.0,2.0,2.0,10.0,100.0,1,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 4,0.7826444235879267,0.03253984451293945,0.00017642974853515625,1.0,2.0,2.0,10.0,100.0,1,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 5,0.7430174090182784,0.007199764251708984,0.00013113021850585938,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 6,0.7366549747374201,0.007146596908569336,0.00014829635620117188,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 7,0.7732939346720923,0.007352590560913086,0.00016236305236816406,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 8,0.7164247803672945,0.007451057434082031,0.0001533031463623047,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 9,0.6755424873245539,0.0058476924896240234,0.00011873245239257812,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 10,0.8457530836319884,0.020331859588623047,0.00016736984252929688,1.0,2.0,2.0,10.0,100.0,0.7,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 11,0.8360550499242224,0.019644498825073242,0.00018739700317382812,1.0,2.0,2.0,10.0,100.0,0.7,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 12,0.7955369249176603,0.0224454402923584,0.0002079010009765625,1.0,2.0,2.0,10.0,100.0,0.7,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 13,0.6830315240447336,0.023918867111206055,0.0002720355987548828,1.0,2.0,2.0,10.0,100.0,0.7,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 14,0.7790745992834132,0.02305126190185547,0.00018095970153808594,1.0,2.0,2.0,10.0,100.0,0.7,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 15,0.7783061626801966,0.02790355682373047,0.00019025802612304688,1.0,2.0,2.0,20.0,100.0,1,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 16,0.7895068556594285,0.02931690216064453,0.00016260147094726562,1.0,2.0,2.0,20.0,100.0,1,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 17,0.7828784978312693,0.028357744216918945,0.00017523765563964844,1.0,2.0,2.0,20.0,100.0,1,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 18,0.791275291293825,0.04459500312805176,0.0003502368927001953,1.0,2.0,2.0,20.0,100.0,1,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 19,0.7481066037847358,0.037697792053222656,0.00021147727966308594,1.0,2.0,2.0,20.0,100.0,1,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 20,0.6403700176870232,0.008003711700439453,0.00018095970153808594,1.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 21,0.6695617222361473,0.008202791213989258,0.00016117095947265625,1.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 22,0.6929882935485787,0.0077762603759765625,0.00015783309936523438,1.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.01
