id,name,n_samples,n_features,fold,CPF R2,Lasso R2 alpha=0.01,Lasso n_trees,Lasso R2 alpha=0.1,Lasso R2 alpha=1,Lasso R2 alpha=10
1,Abalone,4177,8,1,0.5554651184737991,0.47027581491940673,0,0.49490518723347754,0.5162400887774857,-0.000276149646651902
1,Abalone,4177,8,2,0.5310018883357016,0.40673961418662874,0,0.44242293892890483,0.48594931287414245,-0.007423356395585001
1,Abalone,4177,8,3,0.5663297593204313,0.5166748594959111,0,0.5412670045776447,0.5614697218562242,-0.00034576733678370886
1,Abalone,4177,8,4,0.561822437814167,0.48827752538707214,0,0.5271643920903124,0.5432151488391181,-0.004722478718579115
1,Abalone,4177,8,5,0.5567893680787608,0.4989124905850526,0,0.5225951711810903,0.5435552055203017,-1.8370506923881535e-05
9,Auto MPG,392,7,1,0.8739227212899702,0.8613591754920713,17,0.887270555196944,0.8954991357740855,0.8780947536115882
9,Auto MPG,392,7,2,0.8582211119448502,0.8034300007000779,18,0.8317286867439599,0.8453450542874976,0.8493568613825536
9,Auto MPG,392,7,3,0.8530361523868708,0.8328539692163128,17,0.8487685801619744,0.8514330580332066,0.8340531550978953
9,Auto MPG,392,7,4,0.9030345066703811,0.8591991782850246,16,0.8738660064622155,0.887843861923283,0.8438526793559358
9,Auto MPG,392,7,5,0.8937683866124888,0.8769601759425728,16,0.8901085342811874,0.8936439330279419,0.865965924820918
10,Automobile,159,25,1,0.822393637802887,0.819446000331079,0,0.8179811533103487,0.3483236519253655,-0.09318618637237286
10,Automobile,159,25,2,0.43011758082097196,0.40488729738215723,0,0.3039172156219704,0.2674604336882719,-0.0121107578572901
10,Automobile,159,25,3,0.8640034965946656,0.8748519378711228,0,0.8461952570710097,0.4504143345234014,-0.117878196152432
10,Automobile,159,25,4,0.4959400413499666,0.44964558915770114,0,0.38468280814550304,0.12699349889691103,-0.04201340109997287
