id,name,n_samples,n_features,fold,CPF R2,Lasso R2 alpha=0.01,Lasso n_trees alpha=0.01,Lasso R2 alpha=0.1,Lasso n_trees alpha=0.1,Lasso R2 alpha=1,Lasso n_trees alpha=1,Lasso R2 alpha=10,Lasso n_trees alpha=10
1,Abalone,4177,8,1,0.5554651184737991,0.4817612179862252,51,0.5136074112120316,27,0.48280406290906264,17,-0.000276149646651902,0
1,Abalone,4177,8,2,0.5310018883357016,0.4187872829514705,48,0.4732854312554874,29,0.4712496951714271,20,-0.007423356395585001,0
1,Abalone,4177,8,3,0.5663297593204313,0.5189888693668616,56,0.5575402418495802,22,0.5057123393959075,21,-0.00034576733678370886,0
1,Abalone,4177,8,4,0.561822437814167,0.5015845175320797,49,0.5390403512232552,24,0.4930940387845324,20,-0.004722478718579115,0
1,Abalone,4177,8,5,0.5567893680787608,0.5068265906682416,54,0.5357084975588506,23,0.5067524677300053,18,-1.8370506923881535e-05,0
9,Auto MPG,392,7,1,0.8739227212899702,0.8842523575344379,42,0.894699701280166,22,0.8884932206472674,20,-0.011357808240890721,0
9,Auto MPG,392,7,2,0.8582211119448502,0.8366932666124969,41,0.8440320486858561,26,0.8528612491960473,24,-0.0033563099650468775,0
9,Auto MPG,392,7,3,0.8530361523868708,0.8450270179333809,39,0.8516364491600206,27,0.8341986078140171,26,-0.0002600053326333729,0
9,Auto MPG,392,7,4,0.9030345066703811,0.8743085347318931,42,0.8881175221161242,25,0.8611271001745313,23,-0.01561928447638894,0
9,Auto MPG,392,7,5,0.8937683866124888,0.8947986354282962,41,0.893158963050958,23,0.876406025012512,18,-0.038745386691244166,0
10,Automobile,159,25,1,0.822393637802887,0.8196654663242109,28,0.8252563374947817,18,0.11219832206515634,1,-0.09318618637237286,0
10,Automobile,159,25,2,0.43011758082097196,0.4125024195869387,34,0.31405639861799794,25,0.08817431398790476,1,-0.0121107578572901,0
10,Automobile,159,25,3,0.8640034965946656,0.8739445577887162,27,0.850163463237523,21,0.11032398786056363,1,-0.117878196152432,0
10,Automobile,159,25,4,0.4959400413499666,0.46044610272397546,26,0.40931460484238613,22,0.09938135016932714,2,-0.04201340109997287,0
10,Automobile,159,25,5,0.7410776549105604,0.7164642494880693,28,0.7361804111245369,20,0.14866710671027483,2,-0.004882167478533539,0
60,Liver Disorders,345,5,1,0.10393237341410155,-0.08831470404483266,44,-0.05788329461423736,21,0.09628061474260474,8,-0.00013596473919452734,0
60,Liver Disorders,345,5,2,0.06313749695545634,-0.23926380476436715,48,-0.2288663268155866,30,0.014520661386500544,16,-0.029958681107578045,0
60,Liver Disorders,345,5,3,0.30057807267937275,-0.1284808324436424,45,0.08495621296889289,20,0.25432162248881585,10,-0.0110814062721174,0
60,Liver Disorders,345,5,4,-0.06578851331840241,-0.5374119821781871,46,-0.2203991026809129,24,0.08901803019575816,13,-0.02867140698087889,0
60,Liver Disorders,345,5,5,0.282203033431887,0.21175342700825595,49,0.28110905335349157,23,0.22055892335864768,11,-0.018581793706150762,0
87,Servo,167,4,1,0.6711429345424892,0.5267483224453033,16,0.5494478955228024,10,0.4919069998572817,2,-0.019583407427398614,0
87,Servo,167,4,2,0.9134133861982612,0.936047444821472,18,0.92474678081938,14,0.5561046641695689,3,-0.04168688084730454,0
87,Servo,167,4,3,0.891267981713976,0.8530005748734147,15,0.87077051500925,15,0.6003182642329984,4,-0.02279741773257693,0
87,Servo,167,4,4,0.903967439454193,0.9816141411757456,14,0.974901620135959,11,0.5149145900310326,4,-0.010559323141670518,0
87,Servo,167,4,5,0.8215943167625236,0.8861540243293087,16,0.868784952007142,13,0.47674270928936635,5,-0.0030667484608046802,0
162,Forest Fires,517,12,1,0.0330163067823408,-0.1406307703604721,46,-0.11589469024545451,25,-0.0006198048100356512,0,-0.0006198048100356512,0
