iter,noise,n_samples,model,r2
0,0.0,10,CPF,0.14454788171072086
0,0.0,10,RF,0.09928840537472017
0,0.0,10,LR,0.4471625629140604
0,0.0,510,CPF,0.892461432647216
0,0.0,510,RF,0.6539359202459376
0,0.0,510,LR,1.0
0,0.0,1010,CPF,0.9505242112888814
0,0.0,1010,RF,0.6718165218078413
0,0.0,1010,LR,1.0
0,0.0,1510,CPF,0.9795497008660199
0,0.0,1510,RF,0.6875085457651022
0,0.0,1510,LR,1.0
0,0.0,2010,CPF,0.990439005228163
0,0.0,2010,RF,0.7177636506797631
0,0.0,2010,LR,1.0
0,0.0,2510,CPF,0.9925413336073897
0,0.0,2510,RF,0.722619116501329
0,0.0,2510,LR,1.0
0,0.0,3010,CPF,0.9945054551525675
0,0.0,3010,RF,0.7334042992981088
0,0.0,3010,LR,1.0
0,0.0,3510,CPF,0.9954362406728362
0,0.0,3510,RF,0.7355554300954439
0,0.0,3510,LR,1.0
0,0.0,4010,CPF,0.9946693221162193
0,0.0,4010,RF,0.7363726610976413
0,0.0,4010,LR,1.0
0,0.0,4510,CPF,0.994396724296052
0,0.0,4510,RF,0.7506519898263226
0,0.0,4510,LR,1.0
0,0.0,5010,CPF,0.9942873143754867
0,0.0,5010,RF,0.7533882066357455
0,0.0,5010,LR,1.0
0,0.0,5510,CPF,0.9972376937549445
0,0.0,5510,RF,0.7542801604417024
0,0.0,5510,LR,1.0
0,0.0,6010,CPF,0.9976478091696016
0,0.0,6010,RF,0.7608395408363664
0,0.0,6010,LR,1.0
0,0.0,6510,CPF,0.9979328681545855
0,0.0,6510,RF,0.7580285066853762
0,0.0,6510,LR,1.0
0,0.0,7010,CPF,0.9977073774290416
0,0.0,7010,RF,0.7606854414615103
0,0.0,7010,LR,1.0
0,0.0,7510,CPF,0.9984733547020345
0,0.0,7510,RF,0.7630135840675917
0,0.0,7510,LR,1.0
0,0.0,8010,CPF,0.9986092981342991
0,0.0,8010,RF,0.7673577829822519
0,0.0,8010,LR,1.0
0,0.1,10,CPF,0.26057231001202363
0,0.1,10,RF,0.20329862329933135
0,0.1,10,LR,0.6196137153944777
0,0.1,510,CPF,0.921667203097766
0,0.1,510,RF,0.6555993019556359
0,0.1,510,LR,0.9977485945077653
0,0.1,1010,CPF,0.9565056898425732
0,0.1,1010,RF,0.6935122863383201
0,0.1,1010,LR,0.9977860970674387
0,0.1,1510,CPF,0.977861940099299
0,0.1,1510,RF,0.6993855399323183
0,0.1,1510,LR,0.9978093901854445
0,0.1,2010,CPF,0.9835831854634596
0,0.1,2010,RF,0.711767570216336
0,0.1,2010,LR,0.9978109563914533
0,0.1,2510,CPF,0.988101771973416
0,0.1,2510,RF,0.7232459607241823
0,0.1,2510,LR,0.9978117664773378
0,0.1,3010,CPF,0.9900935135908084
0,0.1,3010,RF,0.7266268879513245
0,0.1,3010,LR,0.9978120024942074
0,0.1,3510,CPF,0.9931767914283098
0,0.1,3510,RF,0.7324860395714473
0,0.1,3510,LR,0.9978082827065337
0,0.1,4010,CPF,0.9937495484042153
0,0.1,4010,RF,0.7353477988679635
0,0.1,4010,LR,0.9978091732517027
0,0.1,4510,CPF,0.9943874807142553
0,0.1,4510,RF,0.7380416398044396
0,0.1,4510,LR,0.997809781886785
0,0.1,5010,CPF,0.9942575247025345
0,0.1,5010,RF,0.7380906902497735
0,0.1,5010,LR,0.9978122545554895
0,0.1,5510,CPF,0.9945610447445749
0,0.1,5510,RF,0.7442198584802885
0,0.1,5510,LR,0.9978129860036572
0,0.1,6010,CPF,0.9956590050468069
0,0.1,6010,RF,0.750208363688013
0,0.1,6010,LR,0.9978127170993913
0,0.1,6510,CPF,0.9960557188842516
0,0.1,6510,RF,0.7547245513483861
0,0.1,6510,LR,0.9978136775495945
0,0.1,7010,CPF,0.9956897297057757
0,0.1,7010,RF,0.7565864071814798
0,0.1,7010,LR,0.9978131020446682
0,0.1,7510,CPF,0.9958566794246705
0,0.1,7510,RF,0.7574121811216703
0,0.1,7510,LR,0.9978157518235657
0,0.1,8010,CPF,0.9956158626847146
0,0.1,8010,RF,0.7601859885095553
0,0.1,8010,LR,0.9978151156989126
0,1.0,10,CPF,0.13651284941545672
0,1.0,10,RF,0.1069145340196812
0,1.0,10,LR,0.4249677186033465
0,1.0,510,CPF,0.7349658956157699
0,1.0,510,RF,0.5427976103211265
0,1.0,510,LR,0.8180884320625365
0,1.0,1010,CPF,0.7755518176745124
0,1.0,1010,RF,0.5723577845208543
0,1.0,1010,LR,0.821118605638728
0,1.0,1510,CPF,0.7944863850159793
0,1.0,1510,RF,0.5831998003001867
0,1.0,1510,LR,0.8230006689246119
0,1.0,2010,CPF,0.8001143281344257
0,1.0,2010,RF,0.5893314585382916
0,1.0,2010,LR,0.8231272169817115
0,1.0,2510,CPF,0.7999795794592269
0,1.0,2510,RF,0.6018324074803009
0,1.0,2510,LR,0.8231926712030533
0,1.0,3010,CPF,0.803409336106345
0,1.0,3010,RF,0.6004396775035983
0,1.0,3010,LR,0.823211741156888
0,1.0,3510,CPF,0.8083010454350242
0,1.0,3510,RF,0.605125660476041
0,1.0,3510,LR,0.8229111856103833
0,1.0,4010,CPF,0.8110493913005828
0,1.0,4010,RF,0.611637386896182
0,1.0,4010,LR,0.8229831408705887
0,1.0,4510,CPF,0.8128467018735601
0,1.0,4510,RF,0.6143873682087133
0,1.0,4510,LR,0.823032318045696
0,1.0,5010,CPF,0.8123660034584658
0,1.0,5010,RF,0.614224572072954
0,1.0,5010,LR,0.8232321074850361
0,1.0,5510,CPF,0.8129209691039847
0,1.0,5510,RF,0.6172525323244129
0,1.0,5510,LR,0.823291207848567
0,1.0,6010,CPF,0.8122409875665704
0,1.0,6010,RF,0.6182424399158574
0,1.0,6010,LR,0.8232694806222659
0,1.0,6510,CPF,0.8144357015670809
0,1.0,6510,RF,0.6273344601514441
