id,name,n_samples,n_features,fold,model,n_trees,r2
1,Abalone,4177,8,1,CPF,1,0.42840715234474636
1,Abalone,4177,8,1,RF,1,0.20805541221851898
1,Abalone,4177,8,1,CPF,2,0.42771888965382343
1,Abalone,4177,8,1,RF,2,0.3452119937147884
1,Abalone,4177,8,1,CPF,3,0.5097355357966813
1,Abalone,4177,8,1,RF,3,0.4115818440380251
1,Abalone,4177,8,1,CPF,4,0.511995850589317
1,Abalone,4177,8,1,RF,4,0.41252645493554063
1,Abalone,4177,8,1,CPF,5,0.516683637937578
1,Abalone,4177,8,1,RF,5,0.44601227434990776
1,Abalone,4177,8,1,CPF,6,0.5137857943813391
1,Abalone,4177,8,1,RF,6,0.48353802038393656
1,Abalone,4177,8,1,CPF,7,0.5229875377840858
1,Abalone,4177,8,1,RF,7,0.48890040476576035
1,Abalone,4177,8,1,CPF,8,0.5424026253548733
1,Abalone,4177,8,1,RF,8,0.47343544136587035
1,Abalone,4177,8,1,CPF,9,0.5145955401151792
1,Abalone,4177,8,1,RF,9,0.5079203895133058
1,Abalone,4177,8,1,CPF,10,0.5112243700305401
1,Abalone,4177,8,1,RF,10,0.5069125590031638
1,Abalone,4177,8,1,CPF,11,0.5404946067618172
1,Abalone,4177,8,1,RF,11,0.5045509722737038
1,Abalone,4177,8,1,CPF,12,0.5324590679563144
1,Abalone,4177,8,1,RF,12,0.5231157590201292
1,Abalone,4177,8,1,CPF,13,0.5436154082693541
1,Abalone,4177,8,1,RF,13,0.5049381096843424
1,Abalone,4177,8,1,CPF,14,0.545080425514439
1,Abalone,4177,8,1,RF,14,0.5133662952530227
1,Abalone,4177,8,1,CPF,15,0.5183247516204206
1,Abalone,4177,8,1,RF,15,0.4942511203786729
1,Abalone,4177,8,1,CPF,16,0.5500169328610451
1,Abalone,4177,8,1,RF,16,0.5124846659844646
1,Abalone,4177,8,1,CPF,17,0.5357567917006325
1,Abalone,4177,8,1,RF,17,0.5298075266467364
1,Abalone,4177,8,1,CPF,18,0.543820868059115
1,Abalone,4177,8,1,RF,18,0.5064122861145105
1,Abalone,4177,8,1,CPF,19,0.5291773096938159
1,Abalone,4177,8,1,RF,19,0.5131841072346048
1,Abalone,4177,8,2,CPF,1,0.23862512398567337
1,Abalone,4177,8,2,RF,1,-0.025091517370118055
